id;Beheizt;Addresse;Ortsteil;Ort;PLZ;Gebäudetyp;Tabula-Klasse;Baualtersklasse;Primärenergieträger;Spezifischer Wärmebedarf (kWh/m²a);Wärmebedarf (kWh/Jahr);Raumwärmebedarf (kWh/Jahr);Strombedarf (kWh/Jahr);CO₂ Emission Wärme (t/Jahr);Heizungsanlagenalter (Jahr);Heizleistung (kW);Holzverbrauch (kWh/Jahr);Holzpellets (kWh/Jahr);Holzhackschnitzel (kWh/Jahr);Gasverbrauch (kWh/Jahr);Ölverbrauch (kWh/Jahr);Bezug von Wärmenetz (kWh/Jahr);Strombedarf Heizen (kWh/Jahr);Solarthermie Potenzial (kWh/Jahr);Geothermiepotenzial (kWh/Jahr);Primäres Heizsystem;Sanierungspotenzial Klasse;Wärmebedarfsreduktion;Endenergiebedarf (kWh/Jahr);Vorlauftemperatur für Raumheizung;Anzahl der möglichen Bohrlöcher;Abwärmepotenzial (kWh/Jahr);Temperaturbereich (Abwärme) (°C);PV-Potenzial (kWh/Jahr);Eigentum nach Verwaltungsebene;Landnutzung;Wirtschaftszweig;Bewohner;Anzahl der Wohnungen;Anzahl der Wohnungen Kategorie;Subtyp Wohnen;Industriename;Wärmebedarfstyp (ohne Prozesswärme);Elektroheizungstyp;Holzofen vorhanden;Kältebedarf (kWh/Jahr);BHKW vorhanden;Leistung BHKW (kW);Ist Abwärmequelle;Datenquelle Abwärme;Aufwand zur Bereitstellung von Abwärme;Anschluss an Wärmenetz;Interesse an Wärmenetz;Aufwand zum Anschluss an Wärmenetz;Ist Wärmequelle;Ist direkter möglicher Wärmenetz-Anschlussnehmer;Ökonomischer Sektor;Warmwasserbedarf (kWh/Jahr);Prozesswärmebedarf (kWh/Jahr);Heizlast (kW);GEG-Effizienzklasse;Datenquelle
243687638;True;;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1949 - 1957);1949 - 1978;Heizöl;165;13357,53999783784;10806,249858250812;3440,0;4,333779643742943;;;;;;;14841,71110870871;;;11225,0;25804,716275332663;Ölkessel;Mittel;7040,1477049398045;14841,71110870871;80,0;2;;;12347,0;;;Wohngebäude;2;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;False;Privates Wohnen;2551,290139587027;0,0;7,420855554354355;F;greenventory
243687639;True;Ortenaustraße 52a;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1984 - 1994);1991 - 2000;Heizöl;114;22420,003347323323;18137,78270798457;4940,0;7,2740455304649005;;;;;;;24911,11483035925;;;10353,0;11693,74329689272;Ölkessel;Mittel;9896,002217961342;24911,11483035925;55,0;1;;;11388,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;4282,220639338755;0,0;12,455557415179625;D;greenventory
243687640;True;;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (2002 - 2009);2001 - 2010;Heizöl;86;7040,875756544322;5696,0684870443565;3440,0;2,2843730232343797;;;;;;;7823,195285049246;;;7115,0;0,0;Ölkessel;Mittel;2450,0998551174116;7823,195285049246;55,0;0;;;7826,0;;;Wohngebäude;2;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;False;Privates Wohnen;1344,8072694999655;0,0;3,9115976425246233;C;greenventory
243687641;False;;Elgersweier;Offenburg;77656;Lager;;;;0;0,0;0,0;5589,0;0,0;;;;;;;;;;29809,0;0,0;;;0,0;0,0;;0;;;32790,0;;;Lager;;;Unbekannt;;;Privatgebäude - Geringer Wärmebedarf;;False;21413,800482008053;False;;;;;False;False;;False;False;GHD, Verkehr & Sonstige;0,0;0,0;0,0;;greenventory
243687642;True;Hebelstraße 36a;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (2002 - 2009);2001 - 2010;Heizöl;72;31243,494334480172;25275,986916594462;9880,0;10,136778161853567;;;;;;;34714,99370497797;;;22545,0;0,0;Ölkessel;Mittel;15337,439614752591;34714,99370497797;55,0;0;;;24800,0;;;Wohngebäude;8;6;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;5967,507417885713;0,0;17,357496852488985;C;greenventory
243687643;True;Hebelstraße 34b;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (2002 - 2009);2001 - 2010;Heizöl;86;14039,86656010667;11358,252047126296;4050,0;4,555156706167942;;;;;;;15599,851733451855;;;8512,0;43200,76671273088;Ölkessel;Mittel;4885,62448965415;15599,851733451855;55,0;4;;;9364,0;;;Wohngebäude;3;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;2681,614512980374;0,0;7,7999258667259275;C;greenventory
243687644;True;Hebelstraße 34a;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (2002 - 2009);2001 - 2010;Heizöl;72;26164,17725475376;21166,81939909579;8645,0;8,488821953764552;;;;;;;29071,30806083751;;;18880,0;0,0;Ölkessel;Mittel;12844,001519753368;29071,30806083751;55,0;0;;;20768,0;;;Wohngebäude;7;5;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;4997,357855657968;0,0;14,535654030418755;C;greenventory
243687645;True;Hebelstraße 34;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (2002 - 2009);2001 - 2010;Heizöl;86;18258,061852944917;14770,77203903244;4940,0;5,923726734511018;;;;;;;20286,73539216102;;;11070,0;11796,445491649512;Ölkessel;Mittel;6353,48161896563;20286,73539216102;55,0;1;;;12177,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;3487,289813912479;0,0;10,143367696080508;C;greenventory
243687646;True;Hebelstraße 32;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1958 - 1968);1949 - 1978;Heizöl;160;38193,475317771;30898,521532076742;4940,0;12,391660880876813;;;;;;;42437,194797523334;;;9463,0;0,0;Ölkessel;Mittel;17424,924157863068;42437,194797523334;80,0;0;;;10409,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;7294,953785694262;0,0;21,218597398761666;F;greenventory
243687647;True;Hebelstraße 23;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (1958 - 1968);1949 - 1978;Stromnetz;126;37156,53849048637;30059,639638803474;7410,0;9,660700007526456;;;;;;;;;37156,53849048637;16357,0;0,0;Elektroheizung;Mittel;23758,927089703564;37156,53849048637;65,0;0;;;17993,0;;;Wohngebäude;6;4;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;Nachtspeicherheizung;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;7096,898851682897;0,0;20,642521383603537;D;greenventory
